id,pred_label,pred_noise_type
6181d0125ebf42cd8929,CLEAN,ORIGINAL
b1ece505cf2d4925bedc,CLEAN,ORIGINAL
65a88e6e26fe43ec9875,CLEAN,TEENCODE
73b81435a9b74ebb9c7d,CLEAN,ORIGINAL
60f34e336ddc44d4856e,CLEAN,OBFUSCATION
d999ce4dd684428ab788,CLEAN,ORIGINAL
8ac65a53914544f1bf7d,OFFENSIVE,ORIGINAL
6f8ebdb77dec4b829b62,CLEAN,OBFUSCATION
cc3eaa082e0b44c7850d,CLEAN,ORIGINAL
646d449e76dc48ccbab6,CLEAN,OBFUSCATION
d62bcbf676604024a8bf,CLEAN,PUNCT_NOISE
931b7998834945a38d9f,CLEAN,MIXED
0bd705844bbd42e8815e,CLEAN,TEENCODE
9fc771c1bb7a4ada9953,CLEAN,CHAR_REPEAT
2371ee522f3c4c7483f9,CLEAN,TEENCODE
8100ec307de94f4a9fae,CLEAN,CHAR_REPEAT
d65e005837b5485f8f48,CLEAN,CHAR_REPEAT
ba81ef0ae43841ea9c27,CLEAN,ORIGINAL
26e657753da44cb998d4,CLEAN,TEENCODE
8b2c9b73364743e5b3ca,CLEAN,NO_DIACRITICS
8b6558f69bcd401084e5,CLEAN,TEENCODE
d263066fcf184425bb62,CLEAN,MIXED
415a2391b04a4e28bebd,CLEAN,ORIGINAL
3c0f3d6753034953aa39,CLEAN,NO_DIACRITICS
791b8e2c17ca4259930f,CLEAN,OBFUSCATION
15b73c746c9c45f49412,CLEAN,TEENCODE
3d00708b99c04bddb78b,CLEAN,ORIGINAL
5a560af8cdbc4e98bc7b,CLEAN,ORIGINAL
82780e65bb4a491e887e,CLEAN,MIXED
179e8df4fd0b41478520,CLEAN,CHAR_REPEAT
dd08330a73d64620b483,HATE,CHAR_REPEAT
bac29d8b3d2f4735b703,CLEAN,ORIGINAL
8167022ea8754f5291dc,CLEAN,ORIGINAL
4cf2ceb274454e778222,CLEAN,ORIGINAL
0f744fdb44e04a10bcd1,CLEAN,CHAR_REPEAT
a2f8da6cd7a84640803e,CLEAN,ORIGINAL
c0cad916966a463cb554,CLEAN,CHAR_REPEAT
384aba3d8e03471da7f2,HATE,NO_DIACRITICS
969447c339b04aa4af6e,CLEAN,PUNCT_NOISE
0569271962894088bce7,CLEAN,ORIGINAL
2347f6211dc74624967e,CLEAN,NO_DIACRITICS
c9b3254a5cb74ec2bf4a,CLEAN,CHAR_REPEAT
2f562e26d94a4702a9e9,CLEAN,CHAR_REPEAT
764129efd6164481aee8,CLEAN,MIXED
3196ef64206e4b509a87,OFFENSIVE,ORIGINAL
821e3d290a9441b59749,CLEAN,OBFUSCATION
3b0c9c394dbe4680abc1,CLEAN,ORIGINAL
84cb4d3dd0dc4272a243,CLEAN,PUNCT_NOISE
6448d159a11744a78297,HATE,CHAR_REPEAT
f61f6780c9954e079e1b,CLEAN,ORIGINAL
c826e4109ec14f9bb342,CLEAN,ORIGINAL
c6d79539b70a4693b42f,CLEAN,NO_DIACRITICS
c86b44810d594c0fb3ab,CLEAN,ORIGINAL
52992d100bfb4f4d8c15,HATE,ORIGINAL
eec464e30c86430a9e8c,CLEAN,PUNCT_NOISE
c427900c02784882ab74,OFFENSIVE,MIXED
31bb73c181a74f92bd33,CLEAN,ORIGINAL
2c99dd15a4124ed39d48,CLEAN,ORIGINAL
9ff613fafea1412e82a5,CLEAN,NO_DIACRITICS
89d0705ad64440e692ab,CLEAN,NO_DIACRITICS
6d9155fd54924f3c9c11,HATE,PUNCT_NOISE
8254c7ac2a8b498fbfd3,CLEAN,CHAR_REPEAT
52bf48b3830a40aaa628,CLEAN,PUNCT_NOISE
56970c33b6ba4fcea064,CLEAN,TEENCODE
98cd678bb62e48a28326,CLEAN,NO_DIACRITICS
cf6da9961ce442239ec7,CLEAN,ORIGINAL
cbd749cd516441299120,HATE,ORIGINAL
88fc5fa89b8f43ca892a,CLEAN,ORIGINAL
f14190338fc94ab4966b,CLEAN,NO_DIACRITICS
37e898e54477471c8eb2,CLEAN,ORIGINAL
63c647994f09453eaaaf,CLEAN,ORIGINAL
fc788522abcd41a8be07,CLEAN,ORIGINAL
efcb421711e44811bea2,CLEAN,ORIGINAL
ff3f619d70364254af4a,CLEAN,ORIGINAL
5bb615ae307848ac8970,CLEAN,ORIGINAL
88577971b7cc49b4af1e,CLEAN,NO_DIACRITICS
43082f670a0f4246bef9,CLEAN,OBFUSCATION
7e6470a8267f4d9bba2a,CLEAN,OBFUSCATION
b2f64cf8b172460d9134,CLEAN,TEENCODE
843eba162d344e43a6f3,CLEAN,NO_DIACRITICS
7bf8819f60c14b938638,CLEAN,NO_DIACRITICS
be63a4c6c6194e83abb1,CLEAN,CHAR_REPEAT
a4e65c2d651c443d90d6,CLEAN,CHAR_REPEAT
ec31f26abd7344bbbe60,HATE,ORIGINAL
ae8cc0896a8f4a7a8fc3,CLEAN,ORIGINAL
e579d47f016c4a269b6f,CLEAN,MIXED
14b40e5f770942e692a5,CLEAN,PUNCT_NOISE
5a2ff4effed349099466,CLEAN,ORIGINAL
0af31f832838482c9d7e,OFFENSIVE,PUNCT_NOISE
7d5a544198d042d88a9e,HATE,OBFUSCATION
658c434b68954ceb8689,CLEAN,CHAR_REPEAT
bcbfec317f734076b791,CLEAN,NO_DIACRITICS
9860af12ba22487aa621,CLEAN,CHAR_REPEAT
4406e15eb71a47b2b9a9,CLEAN,NO_DIACRITICS
7d79e84b32704dd8b2e2,CLEAN,MIXED
79da16a0ea6a42d9b2e7,CLEAN,OBFUSCATION
3921f16086b144a99ff9,CLEAN,OBFUSCATION
81e69b24f43c42b6934d,OFFENSIVE,PUNCT_NOISE
2e331760324548349f98,HATE,ORIGINAL
8c249bec7d57485c950f,CLEAN,NO_DIACRITICS
2e7b522af26b49cb89d4,CLEAN,CHAR_REPEAT
e4c0500994644ab38916,CLEAN,NO_DIACRITICS
6b5a09446d554e389635,CLEAN,ORIGINAL
0b0418302b9e4c96b8d8,OFFENSIVE,PUNCT_NOISE
8028177ba6624eb08223,HATE,PUNCT_NOISE
a12d6c5985da4ad49a90,CLEAN,ORIGINAL
8b1b40093d1746169212,OFFENSIVE,ORIGINAL
713f856fb19c45a68466,CLEAN,ORIGINAL
06632c6b018c425285a8,CLEAN,PUNCT_NOISE
9c6a8812d367442d977e,CLEAN,ORIGINAL
6bc672908f4947309e31,HATE,ORIGINAL
0dfb9a1fd20849dca555,CLEAN,ORIGINAL
4e6bc65fbc354e10b2d1,CLEAN,NO_DIACRITICS
cc72ce68685343fd9ba2,CLEAN,OBFUSCATION
050892ace29241159e2c,CLEAN,ORIGINAL
8fd9d066222a48e8a9f9,CLEAN,NO_DIACRITICS
c996763ec00946be99bb,CLEAN,OBFUSCATION
241afe09b1434cb39582,CLEAN,OBFUSCATION
4b7c71255bfb405385c6,CLEAN,MIXED
21dddb783a324f339ea7,CLEAN,ORIGINAL
01a88765f28a4ec0a8ae,CLEAN,NO_DIACRITICS
d5329b7453c545a5925b,CLEAN,ORIGINAL
6c9da84a67ef4dd7a4ff,CLEAN,MIXED
fcf501b229f94fc1bc28,CLEAN,NO_DIACRITICS
b874867267384ba99726,CLEAN,NO_DIACRITICS
3776997fde704f70b940,CLEAN,PUNCT_NOISE
