src	tgt
hling rong gu-ne-ma	H'Linh đã không bắt cái nhà
miu bnam tuk-ne	con mèo đã mang ngọn núi
padi pa nhu	cây lúa uống người cha
bok dak nhu	người thầy uống dòng sông
ybhok hina om-ma	Y Bhôk không nấu con cá
pa hina-tao nhu-ma	người cha không uống những con cá
pang padi-tao ntik hmang-ma	cái nồi không thấy những cây lúa nhỏ
rong brah gu	cái nhà bắt khu rừng
kata hina nhu-ne	con gà đã uống con cá
hling padi mahe ei-ne	H'Linh đã cho cây lúa mới
yson bok dua ngui-ne	Y Sơn đã làm một người thầy
hrin mi-tao nhu-ne-ma	H'Rin đã không uống những người mẹ
mi bok bar nhu-ma	người mẹ không uống hai người thầy
hnga plei bar hmang-ne	H'Nga đã thấy hai bản làng
brah rong-tao liem hmang-ne-ma	khu rừng đã không thấy những cái nhà đẹp
pang rong dua gu	cái nồi bắt một cái nhà
hling hina mahe hlao	H'Linh tìm con cá mới
padi pang krah tec	cây lúa bán cái nồi cũ
pang bok gu-ne-ma	cái nồi đã không bắt người thầy
brah krao ei	khu rừng cho con trâu
bok dak puon ei-ne-ma	người thầy đã không cho bốn dòng sông
ako hina gu-ne-ma	con chó đã không bắt con cá
yson pang-tao gu	Y Sơn bắt những cái nồi
rong plei dua hmang	cái nhà thấy một bản làng
mi pang-tao prong tuk-ma	người mẹ không mang những cái nồi to
hnga padi bar cha-ne-ma	H'Nga đã không ăn hai cây lúa
kata kon bar om	con gà nấu hai đứa trẻ
brah pa mahe gu-ne-ma	khu rừng đã không bắt người cha mới
hina mi pei ngui-ne	con cá đã làm ba người mẹ
brah miu-tao cha-ne	khu rừng đã ăn những con mèo
ybhok pang dua cha-ne-ma	Y Bhôk đã không ăn một cái nồi
hling pang nhu-ne	H'Linh đã uống cái nồi
mi kata-tao krah om-ne-ma	người mẹ đã không nấu những con gà cũ
bok ako tec-ne	người thầy đã bán con chó
mi hina-tao om	người mẹ nấu những con cá
padi plei om-ma	cây lúa không nấu bản làng
pa pa poh ntik cha	người cha ăn năm người cha nhỏ
hnga krao mahe hlao-ne-ma	H'Nga đã không tìm con trâu mới
kata plei pei ntik hlao	con gà tìm ba bản làng nhỏ
yson pa-tao hmang-ne	Y Sơn đã thấy những người cha
miu ako prong tuk	con mèo mang con chó to
miu dak-tao cha	con mèo ăn những dòng sông
brah plei-tao ei	khu rừng cho những bản làng
